Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,3,38,39,2,0,5,4,41.4,0.31,+6.4,+0.17,116,352,33,998,187,21.6,28.5,236,57.6,46,334,30,9,23,0.61,14.5
Aston Villa,1,38,46,5,2,4,1,52.4,0.27,+7.4,+0.20,289,728,39.7,1041,162,52.7,42.5,254,70.5,52.9,393,33,8.4,21,0.55,13.1
Brighton,2,38,46,6,0,9,2,45.6,0.35,+1.6,+0.04,239,613,39,1259,163,38.6,36.7,235,54,45.1,313,18,5.8,20,0.53,14.4
Burnley,3,38,55,3,0,11,1,51.5,0.27,-2.5,-0.07,354,901,39.3,849,134,75.6,53.8,299,86.6,63.2,379,43,11.3,45,1.18,16.4
Chelsea,3,38,36,3,1,5,1,32.9,0.29,-2.1,-0.05,165,346,47.7,1044,166,25.3,29.1,232,35.3,32.5,255,18,7.1,28,0.74,16
Crystal Palace,2,38,66,3,1,9,0,62.6,0.35,-3.4,-0.09,256,739,34.6,779,149,59.2,44.1,322,86.3,61.3,377,27,7.2,17,0.45,13.3
Everton,3,38,48,3,1,5,1,48.5,0.3,+1.5,+0.04,328,765,42.9,1106,159,52.9,43.2,262,68.7,54.5,348,28,8,20,0.53,14.4
Fulham,2,38,53,7,0,5,1,58.6,0.33,+6.6,+0.17,178,445,40,791,165,37.7,33.9,256,57.4,43,341,34,10,21,0.55,13.9
Leeds United,2,38,54,8,1,11,2,59.6,0.27,+7.6,+0.20,197,435,45.3,1145,290,27.9,30.3,297,38.7,34,216,24,11.1,21,0.55,13.7
Leicester City,1,38,50,4,0,9,2,48.5,0.34,+0.5,+0.01,226,533,42.4,1009,164,42.4,38,209,50.2,42.7,297,24,8.1,14,0.37,13
Liverpool,3,38,42,4,1,6,0,48,0.33,+6.0,+0.16,147,326,45.1,1089,189,23.6,30.7,209,33,35.1,266,26,9.8,46,1.21,17.5
Manchester City,3,38,32,8,0,3,1,32.3,0.27,+1.3,+0.03,141,312,45.2,966,158,24.5,31.4,168,44.6,42,196,14,7.1,23,0.61,15.6
Manchester Utd,2,38,44,4,1,9,2,42.4,0.29,+0.4,+0.01,135,328,41.2,642,141,35.7,34.2,266,37.2,34.4,300,18,6,23,0.61,14.6
Newcastle Utd,2,38,62,4,1,5,3,56.5,0.29,-2.5,-0.07,263,718,36.6,812,152,57,45.4,341,74.8,55.6,400,35,8.8,12,0.32,12.2
Sheffield Utd,1,38,63,3,0,8,3,61.9,0.29,+1.9,+0.05,290,859,33.8,860,124,70,52.8,281,91.5,69.7,336,32,9.5,22,0.58,15.3
Southampton,2,38,68,8,1,5,1,56.7,0.3,-10.3,-0.27,198,678,29.2,1108,153,46.8,37.6,235,67.7,48.1,327,29,8.9,27,0.71,15.1
Tottenham,1,38,45,10,0,3,3,47,0.28,+5.0,+0.13,202,489,41.3,799,158,46.3,37.3,268,44.4,36.7,366,18,4.9,16,0.42,13.4
West Brom,2,38,76,7,2,14,3,77.1,0.3,+4.1,+0.11,344,990,34.7,1012,171,71.1,51.2,307,87.9,61.1,358,26,7.3,26,0.68,14.5
West Ham,2,38,47,3,0,7,4,48.4,0.32,+5.4,+0.14,294,705,41.7,775,146,61.2,46.2,293,78.8,56.3,389,27,6.9,12,0.32,12.4
Wolves,2,38,52,7,1,10,3,45.7,0.28,-3.3,-0.09,206,459,44.9,555,140,51.9,40.2,270,63.3,44.8,383,22,5.7,6,0.16,11.4
