Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period_value,period_displayName,type_value,type_displayName,outcomeType_value,outcomeType_displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType_value,cardType_displayName,isGoal,name,position,shirtNo,isOwnGoal
24,2210493435.0,20,1,11.0,26,89.4,10.8,1,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '14'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 69]",True,1,FirstHalf,50,Dispossessed,1,Successful,108226.0,,,,,,,,,,,,,Mohamed Salah,FWR,11.0,
32,2210493777.0,25,1,36.0,26,59.6,24.4,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.3'}]","[90, 118, 116, 29, 34, 37, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,108226.0,57.9,18.0,,,,,,,,,,,Mohamed Salah,FWR,11.0,
66,2210494615.0,42,2,53.0,26,87.5,34.7,2,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '92.8'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '48.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '40.4'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '41'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 63, 'displayName': 'BoxRight'}}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}]","[90, 9, 1, 3, 10, 12]",True,1,FirstHalf,15,SavedShot,1,Successful,108226.0,,,41.0,109915.0,19.0,48.3,True,92.8,40.4,,,,Mohamed Salah,FWR,11.0,
70,2210495461.0,44,3,58.0,26,88.5,50.0,3,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 79, 'displayName': 'HighCentre'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '50.0'}, {'type': {'value': 9, 'displayName': 'Penalty'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 214, 'displayName': 'BigChance'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '26.6'}, {'type': {'value': 17, 'displayName': 'BoxCentre'}}]","[90, 21, 8, 9, 201, 1, 12, 16, 25]",True,1,FirstHalf,16,Goal,1,Successful,108226.0,,,,,26.6,50.0,True,,,,,True,Mohamed Salah,FWR,11.0,
99,2210497043.0,65,5,52.0,26,71.6,9.4,5,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '53'}]","[90, 69]",True,1,FirstHalf,50,Dispossessed,1,Successful,108226.0,,,,,,,,,,,,,Mohamed Salah,FWR,11.0,
102,2210497041.0,64,5,55.0,26,70.6,9.6,5,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '54'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 53]",True,1,FirstHalf,3,TakeOn,1,Successful,108226.0,,,,,,,,,,,,,Mohamed Salah,FWR,11.0,
103,2210497087.0,66,5,58.0,26,86.9,21.0,5,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '85.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.7'}]","[90, 118, 116, 29, 204, 34, 36, 216, 217]",True,1,FirstHalf,1,Pass,1,Successful,108226.0,85.8,35.7,,,,,,,,,,,Mohamed Salah,FWR,11.0,
105,2210497101.0,68,6,1.0,26,86.0,32.2,6,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '55'}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '89.0'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '48.6'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '35.7'}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 63, 'displayName': 'BoxRight'}}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '67'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}]","[90, 9, 1, 3, 10, 12]",True,1,FirstHalf,15,SavedShot,1,Successful,108226.0,,,67.0,109915.0,19.0,48.6,True,89.0,35.7,,,,Mohamed Salah,FWR,11.0,
125,2210498379.0,81,7,41.0,26,48.4,7.6,7,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '41.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[90, 119, 123, 127, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,0,Unsuccessful,108226.0,54.9,67.9,,,,,,,,,,,Mohamed Salah,FWR,11.0,
147,2210499485.0,92,9,6.0,26,55.1,13.1,9,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 68]",True,1,FirstHalf,61,BallTouch,0,Unsuccessful,108226.0,,,,,,,,,,,,,Mohamed Salah,FWR,11.0,
